Num,Age,gender,SPS1,SPS2,SPS3,SPS4,SPS5,SPS6,SPS7,SPS8,SPS9,SPS10,SPS11,SPS12,SPS13,SPS14,SPS15,SPS16,SPS17,SPS18,SPS19,SPS20,SPS21,SPS22,SPS23,SPS24,SPS25,SPS26,SPS27
171,3,1,2,4,2,3,5,3,3,4,4,2,4,3,2,2,4,5,4,4,3,2,2,3,4,4,4,1,2
172,4,2,4,5,4,2,5,2,5,4,5,4,3,4,4,5,4,5,5,1,3,5,4,5,4,4,5,5,3
173,3,1,3,4,4,5,5,4,3,5,5,5,5,4,5,5,3,5,5,5,5,4,3,4,5,3,4,5,5
174,4,2,5,5,2,2,5,3,5,4,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,2,5,2,3
175,4,2,3,2,2,5,5,2,5,4,4,1,5,3,3,4,4,2,3,1,3,4,4,2,4,2,4,1,1
176,3,2,5,5,5,2,3,5,5,5,5,5,5,4,3,5,5,5,4,5,3,5,3,5,3,2,5,4,5
177,3,2,4,5,4,3,5,3,4,5,4,5,5,3,5,5,4,5,5,4,3,2,4,5,3,3,3,5,5
178,2,1,3,3,2,2,1,3,1,4,3,4,2,4,3,4,4,4,3,2,2,4,2,3,2,2,2,4,4
179,4,2,4,5,4,3,5,3,3,5,5,5,4,3,3,4,4,4,5,5,4,4,4,5,4,3,5,4,5
180,2,2,3,3,2,2,3,2,2,3,3,2,4,3,3,4,4,4,3,2,3,4,3,4,4,2,3,4,3
181,1,1,3,4,2,5,5,4,1,4,5,5,1,3,1,3,5,5,5,5,3,1,4,5,3,4,3,3,2
182,1,1,3,4,3,3,2,2,3,3,4,4,2,3,2,5,3,5,2,3,4,2,3,4,5,2,3,3,3
183,1,1,4,2,3,5,3,2,1,4,5,3,3,5,3,3,3,4,3,1,4,2,2,4,3,3,3,2,3
184,1,2,2,1,2,2,4,3,2,1,4,2,4,4,4,4,4,4,4,4,4,2,4,2,4,4,4,4,2
185,3,2,1,2,1,3,1,5,1,4,4,5,1,5,5,2,5,2,5,1,2,1,1,4,1,4,4,4,3
186,4,2,4,5,5,5,5,1,1,5,3,5,3,5,5,5,4,3,4,1,1,5,5,5,1,3,3,1,4
187,3,2,3,4,4,2,4,2,3,4,3,3,3,4,3,2,4,4,4,4,3,4,2,2,3,4,4,4,3
188,3,2,3,4,3,3,5,3,4,5,5,4,5,4,4,5,5,5,4,3,5,5,5,4,5,4,5,5,4
189,3,2,3,4,4,3,4,3,2,2,5,3,3,5,4,5,5,4,5,4,3,2,3,3,3,5,3,4,4
190,4,1,4,5,5,1,4,2,5,4,3,4,4,4,2,5,3,5,4,2,5,5,3,5,4,4,2,4,4
191,3,2,4,4,3,3,5,3,4,4,5,4,5,5,3,4,4,4,5,4,4,4,4,4,4,4,3,3,3
192,2,2,4,3,3,3,4,3,4,4,2,2,4,4,3,5,4,4,4,3,4,4,2,2,4,4,4,4,2
193,3,2,3,3,4,2,2,1,3,3,3,4,2,5,4,4,2,4,4,1,3,2,4,4,4,4,4,4,4
194,4,2,5,5,4,5,5,1,4,5,5,1,4,4,3,5,5,5,5,5,4,4,5,1,5,3,5,4,4
195,3,1,5,5,5,5,1,5,1,5,5,5,5,5,3,5,5,5,5,1,1,1,1,5,5,5,5,2,5
196,2,1,3,4,5,2,2,3,2,4,4,5,4,4,2,3,2,4,5,2,3,4,3,5,3,4,3,3,4
197,4,2,5,4,4,2,4,1,5,5,5,3,4,3,4,5,4,5,4,5,5,4,5,5,4,3,4,4,2
198,1,2,4,3,3,3,2,4,3,4,3,4,3,4,4,4,4,4,3,3,3,3,3,4,3,3,3,3,3
199,1,1,4,3,2,5,2,3,4,3,4,4,2,4,4,5,3,2,2,2,4,1,2,4,1,1,4,3,4
200,3,1,3,4,4,5,4,3,3,5,4,5,4,5,3,4,4,4,4,2,4,4,2,5,4,3,5,2,5
201,1,1,3,4,2,2,4,2,2,4,4,4,3,4,2,4,4,3,4,4,4,2,4,4,4,4,2,4,3
202,4,2,2,4,3,1,4,4,4,3,5,3,3,3,4,4,4,5,3,2,5,4,3,4,4,2,4,3,3
203,2,2,3,4,5,4,5,3,4,5,4,4,5,5,4,5,3,5,5,3,4,5,5,4,5,4,4,4,3
204,2,2,4,4,3,5,5,2,1,5,5,5,5,4,3,5,3,5,4,1,2,5,3,5,4,3,4,5,5
205,2,2,3,2,3,3,5,1,4,4,5,5,5,4,2,4,5,5,4,3,5,3,4,5,5,2,5,3,4
206,2,2,4,3,3,5,4,5,2,3,4,3,4,4,3,2,5,5,2,1,2,4,2,5,3,2,5,5,5
207,2,2,4,1,5,1,5,2,4,5,5,4,5,2,2,5,2,5,2,1,4,3,4,4,4,2,2,4,2
208,3,1,4,3,4,2,2,4,2,4,4,5,4,3,3,4,4,3,3,2,2,3,3,4,2,3,2,1,5
209,2,2,4,3,3,2,2,4,2,4,5,5,4,4,2,2,4,4,4,2,2,4,2,3,2,5,3,3,2
210,1,2,4,3,3,2,5,4,3,2,4,2,5,5,3,4,4,4,4,2,2,2,4,2,4,4,3,4,2
211,2,2,1,4,5,3,1,5,5,5,5,5,4,5,3,5,5,2,2,2,5,5,5,5,5,3,5,5,1
212,1,2,4,3,4,3,5,1,2,5,5,3,4,5,4,5,2,5,5,1,3,4,2,4,4,2,5,3,5
213,2,1,3,3,4,4,4,5,4,3,5,4,5,4,3,4,3,4,4,3,4,3,4,4,3,2,4,4,4
214,1,2,4,5,3,4,5,4,5,5,5,5,5,4,3,5,5,5,5,3,3,5,5,4,5,4,4,3,5
215,1,2,2,4,4,3,3,4,4,4,4,4,4,4,3,4,3,4,4,3,4,3,3,4,4,4,4,4,5
216,3,2,2,4,5,4,2,1,2,4,5,2,4,4,1,4,4,5,5,4,2,5,2,4,4,3,3,4,1
217,1,2,3,4,5,4,5,3,4,4,5,5,5,4,3,3,4,5,4,1,3,5,2,5,3,2,4,2,5
218,1,2,1,4,2,2,4,5,5,3,5,5,4,4,1,4,4,4,5,1,3,3,2,5,2,4,5,3,5
219,3,2,3,5,5,3,4,5,3,5,5,5,5,5,4,4,4,4,4,2,3,3,4,5,4,4,4,4,3
220,3,2,4,3,4,3,4,3,4,4,3,5,4,3,4,4,3,4,3,2,3,4,3,3,4,3,4,4,3
221,1,1,5,4,5,2,4,2,5,5,4,2,3,5,2,4,2,5,5,1,2,4,4,5,4,4,5,5,2
